"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Domicílio, espécie";"Domicílio, espécie (código)";"Domicílio, espécie (ordem)";"Moradores, número (operação: Soma)";"Frequência";"Observações"
"9115";"Município (1991)";"310150";"Além Paraíba";"92";"1991";"8004";"1991";"Particular permanente";"1";"1";"30.710";"7939";"7939"
"9115";"Município (1991)";"150040";"Alenquer";"93";"1991";"8004";"1991";"Particular permanente";"1";"1";"52.736";"9731";"9731"
"9115";"Município (1991)";"240050";"Alexandria";"94";"1991";"8004";"1991";"Particular permanente";"1";"1";"14.539";"3137";"3137"
"9115";"Município (1991)";"520030";"Alexânia";"95";"1991";"8004";"1991";"Particular permanente";"1";"1";"16.361";"4049";"4049"
"9115";"Município (1991)";"310160";"Alfenas";"96";"1991";"8004";"1991";"Particular permanente";"1";"1";"52.392";"13109";"13109"
"9115";"Município (1991)";"320030";"Alfredo Chaves";"97";"1991";"8004";"1991";"Particular permanente";"1";"1";"12.617";"2955";"2955"
"9115";"Município (1991)";"350080";"Alfredo Marcondes";"98";"1991";"8004";"1991";"Particular permanente";"1";"1";"3.482";"933";"933"
"9115";"Município (1991)";"420070";"Alfredo Wagner";"99";"1991";"8004";"1991";"Particular permanente";"1";"1";"9.751";"2398";"2398"
"9115";"Município (1991)";"250060";"Alhandra";"100";"1991";"8004";"1991";"Particular permanente";"1";"1";"13.211";"2756";"2756"
"9115";"Município (1991)";"260070";"Aliança";"101";"1991";"8004";"1991";"Particular permanente";"1";"1";"37.380";"7524";"7524"
"9115";"Município (1991)";"170035";"Aliança do Tocantins";"102";"1991";"8004";"1991";"Particular permanente";"1";"1";"6.836";"1442";"1442"
"9115";"Município (1991)";"290090";"Almadina";"103";"1991";"8004";"1991";"Particular permanente";"1";"1";"9.972";"1980";"1980"
"9115";"Município (1991)";"170040";"Almas";"104";"1991";"8004";"1991";"Particular permanente";"1";"1";"7.454";"1512";"1512"
"9115";"Município (1991)";"150050";"Almeirim";"105";"1991";"8004";"1991";"Particular permanente";"1";"1";"31.390";"5665";"5665"
"9115";"Município (1991)";"310170";"Almenara";"106";"1991";"8004";"1991";"Particular permanente";"1";"1";"45.191";"9685";"9685"
"9115";"Município (1991)";"240060";"Almino Afonso";"107";"1991";"8004";"1991";"Particular permanente";"1";"1";"5.688";"1197";"1197"
"9115";"Município (1991)";"410040";"Almirante Tamandaré";"108";"1991";"8004";"1991";"Particular permanente";"1";"1";"65.823";"15532";"15532"
"9115";"Município (1991)";"520050";"Aloândia";"109";"1991";"8004";"1991";"Particular permanente";"1";"1";"1.978";"614";"614"
"9115";"Município (1991)";"310180";"Alpercata";"110";"1991";"8004";"1991";"Particular permanente";"1";"1";"6.635";"1534";"1534"
"9115";"Município (1991)";"430050";"Alpestre";"111";"1991";"8004";"1991";"Particular permanente";"1";"1";"13.550";"3092";"3092"
"9115";"Município (1991)";"310190";"Alpinópolis";"112";"1991";"8004";"1991";"Particular permanente";"1";"1";"19.765";"4930";"4930"
"9115";"Município (1991)";"510025";"Alta Floresta";"113";"1991";"8004";"1991";"Particular permanente";"1";"1";"66.295";"14794";"14794"
"9115";"Município (1991)";"110001";"Alta Floresta D'Oeste";"114";"1991";"8004";"1991";"Particular permanente";"1";"1";"31.870";"7047";"7047"
"9115";"Município (1991)";"350090";"Altair";"115";"1991";"8004";"1991";"Particular permanente";"1";"1";"3.230";"803";"803"
"9115";"Município (1991)";"150060";"Altamira";"116";"1991";"8004";"1991";"Particular permanente";"1";"1";"68.912";"13691";"13691"
"9115";"Município (1991)";"210040";"Altamira do Maranhão";"117";"1991";"8004";"1991";"Particular permanente";"1";"1";"19.989";"3904";"3904"
"9115";"Município (1991)";"410045";"Altamira do Paraná";"118";"1991";"8004";"1991";"Particular permanente";"1";"1";"7.406";"1682";"1682"
"9115";"Município (1991)";"230060";"Altaneira";"119";"1991";"8004";"1991";"Particular permanente";"1";"1";"4.799";"1156";"1156"
"9115";"Município (1991)";"310200";"Alterosa";"120";"1991";"8004";"1991";"Particular permanente";"1";"1";"11.590";"3005";"3005"
"9115";"Município (1991)";"260080";"Altinho";"121";"1991";"8004";"1991";"Particular permanente";"1";"1";"23.120";"5895";"5895"
"9115";"Município (1991)";"350100";"Altinópolis";"122";"1991";"8004";"1991";"Particular permanente";"1";"1";"13.534";"3382";"3382"
"9115";"Município (1991)";"430055";"Alto Alegre";"123";"1991";"8004";"1991";"Particular permanente";"1";"1";"2.129";"506";"506"
"9115";"Município (1991)";"140005";"Alto Alegre";"124";"1991";"8004";"1991";"Particular permanente";"1";"1";"8.064";"1568";"1568"
"9115";"Município (1991)";"350110";"Alto Alegre";"125";"1991";"8004";"1991";"Particular permanente";"1";"1";"4.761";"1237";"1237"
