"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Domicílio, espécie";"Domicílio, espécie (código)";"Domicílio, espécie (ordem)";"Frequência";"Observações"
"9115";"Município (1991)";"310700";"Biquinhas";"518";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"867";"867"
"9115";"Município (1991)";"350650";"Birigui";"519";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"19139";"19139"
"9115";"Município (1991)";"350660";"Biritiba-Mirim";"520";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"4154";"4154"
"9115";"Município (1991)";"290360";"Biritinga";"521";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2749";"2749"
"9115";"Município (1991)";"410290";"Bituruna";"522";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2681";"2681"
"9115";"Município (1991)";"420240";"Blumenau";"523";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"55289";"55289"
"9115";"Município (1991)";"410300";"Boa Esperança";"524";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1661";"1661"
"9115";"Município (1991)";"320100";"Boa Esperança";"525";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2804";"2804"
"9115";"Município (1991)";"310710";"Boa Esperança";"526";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"7854";"7854"
"9115";"Município (1991)";"350670";"Boa Esperança do Sul";"527";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2905";"2905"
"9115";"Município (1991)";"290370";"Boa Nova";"528";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2806";"2806"
"9115";"Município (1991)";"250210";"Boa Ventura";"529";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1162";"1162"
"9115";"Município (1991)";"230240";"Boa Viagem";"530";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"10493";"10493"
"9115";"Município (1991)";"140010";"Boa Vista";"531";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"28486";"28486"
"9115";"Município (1991)";"410305";"Boa Vista da Aparecida";"532";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2306";"2306"
"9115";"Município (1991)";"430220";"Boa Vista do Buricá";"533";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2215";"2215"
"9115";"Município (1991)";"130068";"Boa Vista do Ramos";"534";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1271";"1271"
"9115";"Município (1991)";"290380";"Boa Vista do Tupim";"535";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"3431";"3431"
"9115";"Município (1991)";"270100";"Boca da Mata";"536";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"4202";"4202"
"9115";"Município (1991)";"130070";"Boca do Acre";"537";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"4703";"4703"
"9115";"Município (1991)";"220180";"Bocaina";"538";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"989";"989"
"9115";"Município (1991)";"350680";"Bocaina";"539";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1935";"1935"
"9115";"Município (1991)";"310720";"Bocaina de Minas";"540";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1279";"1279"
"9115";"Município (1991)";"310730";"Bocaiúva";"541";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"9719";"9719"
"9115";"Município (1991)";"410310";"Bocaiúva do Sul";"542";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2555";"2555"
"9115";"Município (1991)";"260200";"Bodocó";"543";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"5598";"5598"
"9115";"Município (1991)";"500215";"Bodoquena";"544";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1611";"1611"
"9115";"Município (1991)";"350690";"Bofete";"545";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1534";"1534"
"9115";"Município (1991)";"350700";"Boituva";"546";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"5624";"5624"
"9115";"Município (1991)";"260210";"Bom Conselho";"547";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"9276";"9276"
