cod_mun;mun;uf;dppo 1991;dppo 1996;dppo 2000;dppo 2010;dppo 2022;Particular 2022;Particular permanente 2022;Particular permanente não ocupado 2022
2402303;Caraúbas;RN;4574;4922;4750;5871;7039;9404;9402;2363
2402402;Carnaúba dos Dantas;RN;1239;1475;1672;2251;2800;3589;3589;789
2402501;Carnaubais;RN;2294;2560;2057;2770;3234;4168;4162;928
2402600;Ceará-Mirim;RN;10126;11731;13588;17397;24896;34246;34186;9290
2402709;Cerro Corá;RN;2139;2264;2422;3056;3684;5204;5203;1519
2402808;Coronel Ezequiel;RN;1299;1271;1358;1575;1883;2878;2878;995
2402907;Coronel João Pessoa;RN;1026;1055;1089;1275;1439;1878;1876;437
2403004;Cruzeta;RN;1746;1914;2076;2452;2936;3631;3624;688
2403103;Currais Novos;RN;8653;9503;10203;12514;14620;18180;18178;3558
2403202;Doutor Severiano;RN;1309;1350;1487;1778;2407;2870;2866;459
2403251;Parnamirim;RN;13846;20357;31884;60376;90152;116627;116583;26431
2403301;Encanto;RN;993;1064;1159;1482;2015;2578;2578;563
2403400;Equador;RN;1205;1293;1419;1730;1960;2761;2761;801
2403509;Espírito Santo;RN;2019;2040;2449;2960;3557;4390;4389;832
2403608;Extremoz;RN;3115;3935;4632;6515;20471;32143;32131;11660
2403707;Felipe Guerra;RN;1325;1352;1445;1681;2064;2576;2569;505
2403756;Fernando Pedroza;RN;;;650;856;1053;1332;1331;278
2403806;Florânia;RN;2584;2757;2211;2548;3398;4261;4261;863
2403905;Francisco Dantas;RN;667;699;764;838;987;1341;1338;351
2404002;Frutuoso Gomes;RN;985;1076;1174;1302;1529;1976;1972;443
2404101;Galinhos;RN;261;310;403;572;624;851;850;226
2404200;Goianinha;RN;3467;3391;3739;5602;8322;9898;9895;1573
2404309;Governador Dix-Sept Rosado;RN;2244;2596;2911;3469;4062;5659;5659;1597
2404408;Grossos;RN;2126;2215;2085;2829;3385;4402;4397;1012
2404507;Guamaré;RN;1322;1692;2094;3331;4911;6468;6464;1553
2404606;Ielmo Marinho;RN;1864;2012;2331;3353;3873;4987;4980;1107
2404705;Ipanguaçu;RN;3240;3528;2725;3783;4471;5586;5578;1107
2404804;Ipueira;RN;358;426;482;642;777;996;996;219
2404853;Itajá;RN;;;1437;1887;2398;3127;3125;727
2404903;Itaú;RN;1089;1253;1325;1676;1900;2428;2427;527
2405009;Jaçanã;RN;1508;1704;1953;2323;2752;3803;3802;1050
2405108;Jandaíra;RN;1116;1266;1452;1867;2092;2762;2762;670
2405207;Janduís;RN;1197;1276;1291;1518;1541;2038;2035;494
2405306;Januário Cicco;RN;1443;1648;1841;2469;3066;4130;4127;1061
2405405;Japi;RN;1299;1398;1516;1599;1776;2823;2823;1047
2405504;Jardim de Angicos;RN;540;577;636;732;795;1050;1049;254
