cod_mun;mun;uf;dppo 1991;dppo 1996;dppo 2000;dppo 2010;dppo 2022;Particular 2022;Particular permanente 2022;Particular permanente não ocupado 2022
2405603;Jardim de Piranhas;RN;2173;2433;2930;3861;4962;6188;6186;1224
2405702;Jardim do Seridó;RN;2801;2989;3217;3851;4467;5619;5618;1151
2405801;João Câmara;RN;5562;7341;6736;8564;10870;14170;14144;3274
2405900;João Dias;RN;591;558;668;752;754;1029;1028;274
2406007;José da Penha;RN;1277;1347;1497;1808;2142;2784;2778;636
2406106;Jucurutu;RN;3284;3816;4247;5279;6346;8535;8525;2179
2406155;Jundiá;RN;;;;1045;1245;1618;1616;371
2406205;Lagoa d'Anta;RN;1028;1100;1259;1687;2195;3020;3017;822
2406304;Lagoa de Pedras;RN;1134;1446;1547;1960;2575;3405;3405;830
2406403;Lagoa de Velhos;RN;459;510;638;755;869;1224;1218;349
2406502;Lagoa Nova;RN;2186;2358;2749;3684;5106;7187;7184;2078
2406601;Lagoa Salgada;RN;1269;1485;1646;2091;2825;3567;3564;739
2406700;Lajes;RN;1955;2074;2391;2958;3211;4361;4353;1142
2406809;Lajes Pintadas;RN;992;1022;1094;1314;1708;2476;2475;767
2406908;Lucrécia;RN;611;691;783;1062;1200;1495;1494;294
2407005;Luís Gomes;RN;2317;2511;2111;2604;3002;3958;3957;955
2407104;Macaíba;RN;9353;10577;13186;19489;28190;38152;38118;9928
2407203;Macau;RN;6096;5978;6810;8551;9656;12915;12912;3256
2407252;Major Sales;RN;;;707;1004;1345;1576;1576;231
2407302;Marcelino Vieira;RN;1915;1827;2061;2400;2729;3552;3552;823
2407401;Martins;RN;2727;2801;1936;2410;2961;3989;3989;1028
2407500;Maxaranguape;RN;2636;3089;1687;2619;3208;5564;5554;2346
2407609;Messias Targino;RN;695;768;876;1181;1432;1861;1858;426
2407708;Montanhas;RN;2112;2261;2601;3103;3771;4643;4642;871
2407807;Monte Alegre;RN;3351;3683;4350;5714;7736;10022;10015;2279
2407906;Monte das Gameleiras;RN;584;593;608;655;796;1244;1244;448
2408003;Mossoró;RN;41199;47378;51948;73449;92467;123412;123379;30912
2408102;Natal;RN;134486;155533;177579;235762;270045;336655;336193;66148
2408201;Nísia Floresta;RN;3020;3633;4455;6392;9842;20153;20137;10295
2408300;Nova Cruz;RN;6539;7234;7990;9813;11514;14178;14171;2657
2408409;Olho d'Água do Borges;RN;1016;1129;1154;1291;1399;1902;1899;500
2408508;Ouro Branco;RN;1010;1099;1206;1389;1770;2347;2344;574
