cod_mun;mun;uf;AVG MDPPO 1991;AVG MDPPO 1996;AVG MPPO 2000;AVG MDPPO 2007;AVG MDPPO 2010;AVG MDPPO 2022;MDPPO 1991;MDPPO 1996;MPPO 2000;MDPPO 2007;MDPPO 2010;MDPPO 2022;DPPO 1991;DPPO 1996;DPPO 2000;DPPO 2007;DPPO 2010;DPPO 2022;DPP 2022;DPPV 2022;DPPUO 2022
1505106;Óbidos;PA;5,65;5,31;5,06;4,52;4,35;3,57;42024;44277;46047;46462;48976;51953;7437;8344;9097;10268;11254;14537;19019;2115;2367
1505205;Oeiras do Pará;PA;6,19;6,01;5,99;5,36;5,23;4,16;18669;21536;23170;25327;28593;33694;3016;3584;3870;4721;5469;8093;9813;684;1036
1505304;Oriximiná;PA;5,45;5,14;5,23;4,70;4,58;3,79;40416;41752;47656;54631;62658;68115;7409;8116;9118;11626;13673;17956;22324;2247;2121
1505403;Ourém;PA;5,48;4,88;4,80;4,20;3,95;3,10;30924;13821;14258;14930;16244;17836;5648;2831;2968;3558;4110;5758;7068;803;507
1505437;Ourilândia do Norte;PA;4,52;4,69;4,61;4,22;3,84;3,12;23153;18040;18807;20008;27164;32431;5125;3849;4083;4739;7079;10381;13413;1838;1194
1505486;Pacajá;PA;5,55;4,88;4,95;4,35;3,93;3,29;30440;26123;26714;38116;39458;41045;5483;5349;5401;8758;10041;12474;17493;2674;2345
1505494;Palestina do Pará;PA;;4,80;4,67;3,90;3,75;3,13;;5987;7512;6773;7411;6884;;1248;1608;1738;1978;2200;2949;388;361
1505502;Paragominas;PA;5,02;4,59;4,51;4,16;3,90;3,18;66461;65628;75589;90219;97412;105048;13228;14308;16773;21711;24967;33006;38147;3434;1707
1505536;Parauapebas;PA;4,76;4,40;4,28;3,71;3,60;3,05;52228;73831;70337;132430;153635;267248;10962;16795;16432;35686;42726;87667;104568;12369;4532
1505551;Pau D'Arco;PA;;4,60;4,37;3,73;3,65;3,11;;5625;7089;6405;6007;6920;;1222;1623;1715;1646;2225;3210;515;470
1505601;Peixe-Boi;PA;4,75;4,55;4,23;3,78;3,55;2,81;5946;7019;7741;7676;7837;8280;1252;1541;1829;2032;2209;2947;3948;452;549
1505635;Piçarra;PA;;;4,52;3,74;3,61;3,15;;;12878;12645;12627;12822;;;2846;3377;3495;4072;5436;731;633
1505650;Placas;PA;;;4,76;4,61;4,22;3,17;;;13246;17527;23456;18637;;;2783;3800;5564;5877;8152;1216;1059
